Name,Instructors,URL,Imgs,Reviews,Alumns,Description
Machine Learning,"DeepLearning.AI, Stanford University",https://www.coursera.org/specializations/machine-learning-introduction,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/3a/9d2a7af297483a845340bcfbac6f1e/MLS.course-banners-01_Course-Logo-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,8200.0,145425,"The Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.AI and Stanford Online. This beginner-friendly program will teach you the fundamentals of machine learning and how to use these techniques to build real-world AI applications. This Specialization is taught by Andrew Ng, an AI visionary who has led critical research at Stanford University and groundbreaking work at Google Brain, Baidu, and Landing.AI to advance the AI field.This 3-course Specialization is an updated version of Andrew’s pioneering Machine Learning course, rated 4.9 out of 5 and taken by over 4.8 million learners since it launched in 2012. It provides a broad introduction to modern machine learning, including supervised learning (multiple linear regression, logistic regression, neural networks, and decision trees), unsupervised learning (clustering, dimensionality reduction, recommender systems), and some of the best practices used in Silicon Valley for artificial intelligence and machine learning innovation (evaluating and tuning models, taking a data-centric approach to improving performance, and more.)By the end of this Specialization, you will have mastered key concepts and gained the practical know-how to quickly and powerfully apply machine learning to challenging real-world problems. If you’re looking to break into AI or build a career in machine learning, the new Machine Learning Specialization is the best place to start."
Introduction to Data Science,IBM Skills Network,https://www.coursera.org/specializations/introduction-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/32/d719a2d0d946d59e1151bc10ec29f5/Specialization-Certificate-Emblem---IDS---600x600.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,77300.0,75229,"Interested in learning more about data science, but don’t know where to start? This 4-course Specialization from IBM will provide you with the key foundational skills any data scientist needs to prepare you for a career in data science or further advanced learning in the field.  This Specialization will introduce you to what data science is and what data scientists do. You’ll discover the applicability of data science across fields, and learn how data analysis can help you make data driven decisions. You’ll find that you can kickstart your career path in the field without prior knowledge of computer science or programming languages: this Specialization will give you the foundation you need for more advanced learning to support your career goals.You’ll grasp concepts like big data, statistical analysis, and relational databases, and gain familiarity with various open source tools and data science programs used by data scientists, like Jupyter Notebooks, RStudio, GitHub, and SQL. You'll complete hands-on labs and projects to learn the methodology involved in tackling data science problems and apply your newly acquired skills and knowledge to real world data sets.In addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM recognizing you as a specialist in data science foundations.This Specialization can also be applied toward the IBM Data Science Professional Certificate. "
Data Science Fundamentals with Python and SQL,IBM Skills Network,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bd/0202c87e244d30bdecd889bd2719ae/DataScienceFundamentalsPythonSQL.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,52800.0,31178,"Data Science is one of the hottest professions of the decade, and the demand for data scientists who can analyze data and communicate results to inform data driven decisions has never been greater. This Specialization from IBM will help anyone interested in pursuing a career in data science by teaching them fundamental skills to get started in this in-demand field.The specialization consists of 5 self-paced online courses that will provide you with the foundational skills required for Data Science, including open source tools and libraries, Python, Statistical Analysis, SQL, and relational databases. You’ll learn these data science pre-requisites through hands-on practice using real data science tools and real-world data sets.Upon successfully completing these courses, you will have the practical knowledge and experience to delve deeper in Data Science and work on more advanced Data Science projects. No prior knowledge of computer science or programming languages required. This program is ACE® recommended—when you complete, you can earn up to 8 college credits.  "
Key Technologies for Business,IBM Skills Network,https://www.coursera.org/specializations/key-technologies-for-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/93/1543b8c7d64dad864ca79e876a065d/Key-Technology-Foundations-1-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,73700.0,14231,"In this Specialization, we will cover 3 key technologies that are foundational and driving significant growth and innovation. These are Cloud Computing, Data Science, and Artificial Intelligence (AI).Technology is essential for the future of business. Almost any organization that wants to modernize or get ahead, and anyone working there, needs to understand and leverage these essential technologies.The courses in this Specialization provide foundational knowledge of Cloud, Data and AI, including business drivers behind their growth, the value they provide, their applications and use cases, and an understanding of how these technologies work. You will not only become familiar with the buzzwords associated with these technologies, but also experience them in action and develop hands-on skills to start working with them.This Specialization is suitable for a variety of learners who are beginners with these technologies, including managers and executives, professionals who want to upskill, and students getting ready to start a career.There is no special prior knowledge or hardware required. The only pre-requisites are basic computer literacy, device with a modern web browser with internet connectivity, and motivation to self-learn online."
Deep Learning,DeepLearning.AI,https://www.coursera.org/specializations/deep-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a4/079d5e7c7b45ac9107f22bfcfeab91/Specialization-logo.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,137900.0,742213,"The Deep Learning Specialization is a foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology. In this Specialization, you will build and train neural network architectures such as Convolutional Neural Networks, Recurrent Neural Networks, LSTMs, Transformers, and learn how to make them better with strategies such as Dropout, BatchNorm, Xavier/He initialization, and more. Get ready to master theoretical concepts and their industry applications using Python and TensorFlow and tackle real-world cases such as speech recognition, music synthesis, chatbots, machine translation, natural language processing, and more.AI is transforming many industries. The Deep Learning Specialization provides a pathway for you to take the definitive step in the world of AI by helping you gain the knowledge and skills to level up your career. Along the way, you will also get career advice from deep learning experts from industry and academia."
IBM AI Foundations for Business,IBM Skills Network,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bb/a0b5642d924caabb6101aa7e1afa66/IBM-AI-Foundations-for-Business.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=600&h=216&fit=fill&q=50,70900.0,9556,"This specialization will explain and describe the overall focus areas for business leaders considering AI-based solutions for business challenges. The first course provides a business-oriented summary of technologies and basic concepts in AI. The second will introduce the technologies and concepts in data science. The third introduces the AI Ladder, which is a framework for understanding the work and processes that are necessary for the successful deployment of AI-based solutions.  "
Data Engineering Foundations,IBM Skills Network,https://www.coursera.org/specializations/data-engineering-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/5c/4855219e884cc89ae6b6ffa5ae9f83/IBM-Data-Engineering-Foundations-Specialization.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,39800.0,9733,"Data engineering is one of the fastest-growing tech occupations, where the demand for skilled data engineers far outweighs the supply. The goal of data engineering is to make quality data available for fact-finding and data-driven decision making. This Specialization from IBM will help anyone interested in pursuing a career in data engineering by teaching fundamental skills to get started in this field. No prior data engineering experience is required to succeed in this Specialization. The Specialization consists of 5 self-paced online courses covering skills required for data engineering, including the data engineering ecosystem and lifecycle, Python, SQL, and Relational Databases.  You will learn these data engineering prerequisites through engaging videos and hands-on practice using real tools and real-world databases. You'll develop your understanding of data engineering, gain skills that can be applied directly to a data career, and build the foundation of your data engineering career. Upon successfully completing these courses, you will have the practical knowledge and experience to delve deeper into data engineering and work on more advanced data engineering projects. "
Applied Data Science,IBM Skills Network,https://www.coursera.org/specializations/applied-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/8b/61b3208e9411e8bd0e199d89262fda/Applied_Data_Science.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,43300.0,11953,"This action-packed Specialization is for data science enthusiasts who want to acquire practical skills for real world data problems. If you’re interested in pursuing a career in data science, and already have foundational skills or have completed the Introduction to Data Science Specialization, this program is for you!  This 4-course Specialization will give you the tools you need to analyze data and make data driven business decisions leveraging computer science and statistical analysis. You will learn Python–no prior programming knowledge necessary–and discover methods of data analysis and data visualization. You’ll utilize tools used by real data scientists like Numpy and Pandas, practice predictive modeling and model selection, and learn how to tell a compelling story with data to drive decision making.Through guided lectures, labs, and projects in the IBM Cloud, you’ll get hands-on experience tackling interesting data problems from start to finish. Take this Specialization to solidify your Python and data science skills before diving deeper into big data, AI, and deep learning.In addition to earning a Specialization completion certificate from Coursera, you’ll also receive a digital badge from IBM. This Specialization can also be applied toward the IBM Data Science Professional Certificate. This program is ACE® recommended—when you complete, you can earn up to 12 college credits.  "
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,https://www.coursera.org/specializations/digital-strategy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1e/9830d71e1d48ba8b883e3912b9a144/IBM-Digital-Strategy_Specialization_600x600b.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,23600.0,3055,"This Specialization was designed to combine the most current business research in digital transformation and strategy with the most up-to-date technical knowledge of the technologies that are changing how we work and do business to enable you to advance your career. By the end of this Specialization, you will have an understanding of the three technologies impacting all businesses: artificial intelligence, cloud computing, and data science. You will also be able to develop or advance a digital transformation strategy for your own business using these technologies. This specialization will help managers understand technology and technical workers to understand strategy, and is ideal for anyone who wants to be able to help lead projects in digital transformation and technical and business strategy."
Data Analysis and Visualization Foundations,IBM Skills Network,https://www.coursera.org/specializations/data-analysis-visualization-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6d/6fb8cc58064b8d85eae4cc5ed61448/Data-Analysis-Foundations-1200X1200.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,14400.0,11354,"Deriving insights from data and communicating findings has become an increasingly important part of virtually every profession. This Specialization prepares you for this data-driven transformation by teaching you the core principles of data analysis and visualization and by giving you the tools and hands-on practice to communicate the results of your data discoveries effectively.  You will be introduced to the modern data ecosystem. You will learn the skills required to successfully start data analysis tasks by becoming familiar with spreadsheets like Excel. You will examine different data sets, load them into the spreadsheet, and employ techniques like summarization, sorting, filtering, & creating pivot tables.Creating stunning visualizations is a critical part of communicating your data analysis results. You will use Excel spreadsheets to create the many different types of data visualizations such as line plots, bar charts, pie charts. You will also create advanced visualizations such as treemaps, scatter charts & map charts. You will then build interactive dashboards. This Specialization is designed for learners interested in starting a career in the field of Data or Business Analytics, as well as those in other professions, who need basic data analysis and visualization skills to supplement their primary job tasks.This program is ACE® recommended—when you complete, you can earn up to 9 college credits.  "
IT Fundamentals for Cybersecurity,IBM ,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/92/13ececb5a44bb7a15d6fb8d4d1433e/IT_Fund_for_Cyber_Specialist.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=600&h=216,17300.0,50532,"There are a growing number of exciting, well-paying jobs in today’s security industry that do not require a traditional college degree.  Forbes estimates that there will be as many as 3.5 million unfilled positions in the industry worldwide by 2021! One position with a severe shortage of skills is as a junior cybersecurity analyst. Throughout this specialization, you will learn concepts around cybersecurity tools and processes, system administration,  operating system and database vulnerabilities, types of cyber attacks and basics of networking. You will also gain knowledge around important topics such as cryptography and digital forensics.  The instructors are architects , Security Operation Center (SOC) analysts, and distinguished engineers who work with cybersecurity in their day to day lives at IBM with a worldwide perspective.  They will share their skills which they need to secure IBM and its clients security systems.The completion of this specialization also makes you eligible to earn the IT Fundamentals for Cybersecurity IBM digital badge.  More information about the badge can be found here:  https://www.youracclaim.com/org/ibm/badge/cybersecurity-it-fundamentals-specialist "
